nama,lat,lon,wilayah,sumber
Starbucks,-6.8939696,107.6055017,Kabupaten Bandung,cafe
SPBU Dago,-6.869002,107.6208824,Kabupaten Bandung,cafe
Tanpa Nama,-6.8643925,107.6278981,Kabupaten Bandung,cafe
Warung Makan,-6.8919748,107.7641083,Kabupaten Bandung,cafe
Habenagen Coffeeshop,-6.9021325,107.6040636,Kabupaten Bandung,cafe
The Oldway Cafe,-6.9070431,107.6230593,Kabupaten Bandung,cafe
Kabut Salju,-6.9183143,107.6143286,Kabupaten Bandung,cafe
Cokotetra,-6.878483,107.616839,Kabupaten Bandung,cafe
YUTAKANA,-6.8834511,107.6147196,Kabupaten Bandung,cafe
Vcafe,-6.8681396,107.6208995,Kabupaten Bandung,coffee_shop
Tizi's Cafe,-6.8831106,107.6138208,Kabupaten Bandung,cafe
Roti Gempol & Kopi Anjis!,-6.909191,107.6276245,Kabupaten Bandung,cafe
KAFE SISHA FURDAN,-6.9089804,107.627429,Kabupaten Bandung,cafe
ROCKEPO KAFE,-6.9071425,107.6202146,Kabupaten Bandung,cafe
Kopi kamu,-6.8979598,107.6098119,Kabupaten Bandung,cafe
The Valley Bistro,-6.8636195,107.6339512,Kabupaten Bandung,cafe
Karnivor,-6.9079727,107.6239556,Kabupaten Bandung,cafe
Noah's Barn,-6.8869895,107.6126856,Kabupaten Bandung,cafe
The Stone Cafe,-6.8650359,107.6265097,Kabupaten Bandung,cafe
Congo Gallery & Cafe,-6.8676855,107.6277808,Kabupaten Bandung,cafe
Badung Cafe & Resto,-6.9061929,107.5981092,Kabupaten Bandung,cafe
Hummingbird Eatery,-6.904728,107.6178751,Kabupaten Bandung,cafe
Eatboss Cafe,-6.9088982,107.6184895,Kabupaten Bandung,cafe
Bober,-6.917453,107.6132859,Kabupaten Bandung,cafe
Brusselsspring,-6.9164146,107.6138316,Kabupaten Bandung,cafe
Soleluna,-6.916593,107.6138143,Kabupaten Bandung,cafe
Two Cents,-6.905489,107.6206005,Kabupaten Bandung,cafe
Little White Cafe,-6.9291255,107.6196615,Kabupaten Bandung,cafe
Vanilla Kitchen & Wine,-6.9036224,107.6209866,Kabupaten Bandung,cafe
Kopi Progo,-6.9046421,107.618747,Kabupaten Bandung,cafe
Giggle Box Cafe And Resto,-6.9045688,107.6197076,Kabupaten Bandung,cafe
Southville,-6.9286472,107.5868038,Kabupaten Bandung,cafe
Wiki Koffie,-6.9160557,107.6091519,Kabupaten Bandung,cafe
Everjoy Coffee and Cafe,-6.9052965,107.6138859,Kabupaten Bandung,cafe
Chingu Cafe,-6.9010768,107.6097423,Kabupaten Bandung,cafe
Lekker 188 Coffee & Foodhub,-6.9225073,107.6175479,Kabupaten Bandung,coffee_shop
Kupu Bistro,-6.9025783,107.6097557,Kabupaten Bandung,cafe
ETC Etcetera,-6.9024057,107.6143369,Kabupaten Bandung,cafe
Oldbens Cafe,-6.900332,107.6136806,Kabupaten Bandung,cafe
Sunny Side Coffee,-6.9153446,107.6531264,Kabupaten Bandung,coffee_shop
Poffstory Coffee Brewer,-6.9264219,107.6196252,Kabupaten Bandung,coffee_shop
Ludwick Café,-6.872527,107.5932983,Kabupaten Bandung,cafe
Uncle's Storage,-6.9204024,107.6130499,Kabupaten Bandung,cafe
Monsoon Cafe,-6.884257,107.5968352,Kabupaten Bandung,cafe
Hoppers,-6.8997615,107.6104078,Kabupaten Bandung,cafe
Kedai Persib,-6.8996949,107.610294,Kabupaten Bandung,cafe
Coffee Time,-6.963849,107.5631391,Kabupaten Bandung,cafe
Gudang Kopi,-6.9617471,107.5591707,Kabupaten Bandung,cafe
Ngopi Doeloe,-6.9072065,107.5668787,Kabupaten Bandung,cafe
Kedai Pantai Timur,-6.8979361,107.592867,Kabupaten Bandung,cafe
Take Ichi Japanese Cafe,-6.8851859,107.5815401,Kabupaten Bandung,cafe
Sugar Rush,-6.8891532,107.582279,Kabupaten Bandung,cafe
Otten Inn & Viit Cafe,-6.90137,107.5990705,Kabupaten Bandung,cafe
Milan Cafe,-6.9309098,107.6262291,Kabupaten Bandung,cafe
Magic Wok Tavern,-6.9120068,107.5960795,Kabupaten Bandung,cafe
Pokatiam,-6.9109614,107.5979568,Kabupaten Bandung,cafe
Yoss Coffe,-6.917344,107.5983109,Kabupaten Bandung,cafe
Kedai Kopi Bara,-6.9210534,107.5946675,Kabupaten Bandung,coffee_shop
DAGO COFFEE,-6.9049786,107.6104791,Kabupaten Bandung,cafe
SWG COFFEE,-6.9025596,107.6104052,Kabupaten Bandung,cafe
Cafe Pohon Durian Bandung,-6.9023283,107.6102359,Kabupaten Bandung,cafe
Caffe Bene,-6.8878993,107.6132494,Kabupaten Bandung,coffee_shop
Starbucks,-6.8861336,107.5816203,Kabupaten Bandung,cafe
833R Store,-6.9606074,107.5566158,Kabupaten Bandung,cafe
Buthcer's Bill Cafe & Resto,-6.9095825,107.6273878,Kabupaten Bandung,cafe
Chinook Café and Resto,-6.9119046,107.628106,Kabupaten Bandung,cafe
Toko Kue & Cafe Bawean,-6.9123755,107.6282628,Kabupaten Bandung,cafe
Gotcha Ice Cream,-6.8958583,107.6348705,Kabupaten Bandung,cafe
Koffiechino,-6.8946071,107.6346631,Kabupaten Bandung,cafe
Trends Cafe & Resto,-6.8940138,107.6348136,Kabupaten Bandung,cafe
Gaza Mediterranean,-6.8943992,107.635277,Kabupaten Bandung,cafe
TOASTCREAM Toastbox & Ice Cream Bar,-6.8918442,107.6165405,Kabupaten Bandung,cafe
Hangout Cafe,-6.8949494,107.6164681,Kabupaten Bandung,cafe
Starbucks,-6.8960232,107.6168462,Kabupaten Bandung,cafe
Kedai Kecil,-6.8961805,107.6166992,Kabupaten Bandung,cafe
B'Owl!,-6.8969548,107.6156562,Kabupaten Bandung,cafe
Blackjack Coffee,-6.9189145,107.5889524,Kabupaten Bandung,cafe
Kaminumasa,-6.9769183,107.6326245,Kabupaten Bandung,cafe
Chillax Coffee And Tea,-6.8975816,107.6437749,Kabupaten Bandung,cafe
Bober,-6.8869859,107.6149061,Kabupaten Bandung,cafe
18 Hrs Cafe,-6.8710748,107.5936203,Kabupaten Bandung,cafe
Soda Resto,-6.9063815,107.6103688,Kabupaten Bandung,cafe
Starbucks,-6.9169485,107.6091118,Kabupaten Bandung,cafe
Bober,-6.907337,107.6232794,Kabupaten Bandung,cafe
"Please, Please, Please",-6.9045305,107.6199423,Kabupaten Bandung,cafe
180 Coffee and Music,-6.8938137,107.6123099,Kabupaten Bandung,cafe
Le Delice Cafe And Bakery,-6.9248412,107.621374,Kabupaten Bandung,cafe
Nanny's Pavillon,-6.9078484,107.6237768,Kabupaten Bandung,cafe
Ujenk Gemi Bar,-6.9070236,107.6057856,Kabupaten Bandung,cafe
Lacamera Coffee,-6.9206091,107.6154775,Kabupaten Bandung,cafe
N Cafe,-6.8767124,107.5728814,Kabupaten Bandung,cafe
Marfee,-6.9063556,107.6143851,Kabupaten Bandung,coffee_shop
Forest Cafe,-6.8577375,107.6289779,Kabupaten Bandung,cafe
Loco Chiks and Chill,-6.930728,107.6219372,Kabupaten Bandung,cafe
Brussels Spring,-6.9186286,107.6141221,Kabupaten Bandung,cafe
sfroastery,-6.9161264,107.5887671,Kabupaten Bandung,cafe
Armor Coffee,-6.8581757,107.6323803,Kabupaten Bandung,cafe
Aviator Coffee Camp,-6.8616646,107.6484767,Kabupaten Bandung,cafe
The People's Cafe,-6.8901174,107.5960789,Kabupaten Bandung,cafe
Starbucks Reserve,-6.8901104,107.5965612,Kabupaten Bandung,cafe
Djournál,-6.8901004,107.5961777,Kabupaten Bandung,cafe
Caribou Coffee,-6.8886602,107.5960294,Kabupaten Bandung,cafe
Black Canyon,-6.8885606,107.5960266,Kabupaten Bandung,cafe
Halaman,-6.8889259,107.5960428,Kabupaten Bandung,cafe
Rose Bread,-6.961599,107.6246951,Kabupaten Bandung,cafe
Jifast The Power Of Durian,-6.9157346,107.6304829,Kabupaten Bandung,cafe
Tanpa Nama,-7.2155209,107.8993965,Kabupaten Bandung,cafe
Starbucks,-6.8733449,107.6050402,Kabupaten Bandung,cafe
Tanpa Nama,-7.2155298,107.9043943,Kabupaten Bandung,cafe
Starbucks,-6.9064912,107.6170456,Kabupaten Bandung,cafe
Kupansa,-7.1998568,107.8856731,Kabupaten Bandung,cafe
Tanpa Nama,-7.1998035,107.8871582,Kabupaten Bandung,cafe
Cafe Latanza,-7.199933,107.885596,Kabupaten Bandung,cafe
Tanpa Nama,-7.2195663,107.900549,Kabupaten Bandung,cafe
Coffee Time IPO,-7.2156785,107.9055211,Kabupaten Bandung,cafe
Tanpa Nama,-7.3028675,107.7599105,Kabupaten Bandung,cafe
Keday Binong,-7.3118451,107.7824828,Kabupaten Bandung,cafe
Coffee Time,-6.93908,107.7458969,Kabupaten Bandung,cafe
La petite corner,-6.9296717,107.6035086,Kabupaten Bandung,cafe
Kopi Toko Djawa,-6.9174934,107.6092599,Kabupaten Bandung,cafe
Art,-6.9171923,107.6093407,Kabupaten Bandung,cafe
Chatime,-6.9169517,107.6089282,Kabupaten Bandung,cafe
J.Co,-6.9144264,107.6966851,Kabupaten Bandung,coffee_shop
Warnet Nur,-6.9165534,107.5889526,Kabupaten Bandung,cafe
Cafe Bali,-6.9136103,107.6292534,Kabupaten Bandung,cafe
Gajua Kopi,-6.9018765,107.60974,Kabupaten Bandung,cafe
Tiga Outdoor Cafe,-6.8949433,107.6162456,Kabupaten Bandung,cafe
Kopi Siologi,-6.8868433,107.6266658,Kabupaten Bandung,cafe
The Valley,-6.8629017,107.6301376,Kabupaten Bandung,cafe
Kebon Awi,-6.8615968,107.6321809,Kabupaten Bandung,cafe
Fashion Pasta,-6.8586541,107.6373118,Kabupaten Bandung,cafe
Lisung,-6.8588451,107.6374225,Kabupaten Bandung,cafe
Warung Taru,-6.8657012,107.6213081,Kabupaten Bandung,cafe
The Goodlife,-6.8813092,107.5826337,Kabupaten Bandung,cafe
Kopi Sepuluh,-6.9059425,107.6191508,Kabupaten Bandung,cafe
Studio Rosid,-6.8828312,107.6291989,Kabupaten Bandung,coffee_shop
