,nama,lat,lon,wilayah,sumber,alamat_asli
0,Starbucks,-6.8939696,107.6055017,Kabupaten Bandung,cafe,"Starbucks, Jalan Cihampelas, Cipaganti, Coblong, Kota Bandung, Jawa Barat, Jawa, 40131, Indonesia"
1,SPBU Dago,-6.869002,107.6208824,Kabupaten Bandung,cafe,"SPBU Dago, Jalan Dago Elos IV, Pertamina, Dago, Coblong, Kota Bandung, Jawa, 41035, Indonesia"
2,Tanpa Nama,-6.8643925,107.6278981,Kabupaten Bandung,cafe,"Jalan Raya Dago Resort, Ciburial, Kabupaten Bandung, Jawa, 40154, Indonesia"
3,Warung Makan,-6.8919748,107.7641083,Kabupaten Bandung,cafe,"Warung Makan, Boulevard Bumi Perkemahan Kiara Payung, Sindangsari, Sumedang, Jawa, 40632, Indonesia"
4,Habenagen Coffeeshop,-6.9021325,107.6040636,Kabupaten Bandung,cafe,"Habenagen Coffeeshop, Jalan Dokter Hatta, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40171, Indonesia"
5,The Oldway Cafe,-6.9070431,107.6230593,Kabupaten Bandung,cafe,"The Oldway Cafe, Jalan L.L. RE. Martadinata, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
6,Kabut Salju,-6.9183143,107.6143286,Kabupaten Bandung,cafe,"Kabut Salju, Jalan Van De Venter, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
7,Cokotetra,-6.878483,107.616839,Kabupaten Bandung,cafe,"Cokotetra, Jalan Ir. H. Djuanda, Dago, Coblong, Kota Bandung, Jawa, 40135, Indonesia"
8,YUTAKANA,-6.8834511,107.6147196,Kabupaten Bandung,cafe,"YUTAKANA, Jalan Ir. H. Djuanda, Sekeloa, Coblong, Kota Bandung, Jawa, 40135, Indonesia"
9,Vcafe,-6.8681396,107.6208995,Kabupaten Bandung,coffee_shop,"Vcafe, Jalan Dago Elos III, Dago, Coblong, Kota Bandung, Jawa, 41035, Indonesia"
10,Tizi's Cafe,-6.8831106,107.6138208,Kabupaten Bandung,cafe,"Tizi's Cafe, Jalan Kidang Pananjung, Dago, Coblong, Kota Bandung, Jawa, 40135, Indonesia"
11,Roti Gempol & Kopi Anjis!,-6.909191,107.6276245,Kabupaten Bandung,cafe,"Roti Gempol & Kopi Anjis!, Jalan Bengawan, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
12,KAFE SISHA FURDAN,-6.9089804,107.627429,Kabupaten Bandung,cafe,"KAFE SISHA FURDAN, Jalan Bengawan, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
13,ROCKEPO KAFE,-6.9071425,107.6202146,Kabupaten Bandung,cafe,"ROCKEPO KAFE, Jalan Lombok, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40113, Indonesia"
14,Kopi kamu,-6.8979598,107.6098119,Kabupaten Bandung,cafe,"Kopi kamu, 66, Jalan Cikapayang, Lebak Siliwangi, Coblong, Kota Bandung, Jawa, 40116, Indonesia"
15,The Valley Bistro,-6.8636195,107.6339512,Kabupaten Bandung,cafe,"The Valley Bistro, 28, Jalan Lembah Pakar Timur, Ciburial, Kabupaten Bandung, Jawa, 40198, Indonesia"
16,Karnivor,-6.9079727,107.6239556,Kabupaten Bandung,cafe,"Karnivor, 127, Jalan L.L. RE. Martadinata, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
17,Noah's Barn,-6.8869895,107.6126856,Kabupaten Bandung,cafe,"Noah's Barn, 2, Jalan Dayang Sumbi, Lebak Siliwangi, Coblong, Kota Bandung, Jawa, 40132, Indonesia"
18,The Stone Cafe,-6.8650359,107.6265097,Kabupaten Bandung,cafe,"The Stone Cafe, #5, Jalan Raya Dago Resort, Kabupaten Bandung, Jawa, 40191, Indonesia"
19,Congo Gallery & Cafe,-6.8676855,107.6277808,Kabupaten Bandung,cafe,"Congo Gallery & Cafe, #8, Jalan Ranca Kendal Luhur, Kabupaten Bandung, Jawa, 40191, Indonesia"
20,Badung Cafe & Resto,-6.9061929,107.5981092,Kabupaten Bandung,cafe,"Badung Cafe & Resto, #3, Jalan dr. Cipto, Pasirkaliki, Cicendo, Kota Bandung, Jawa Barat, Jawa, 40171, Indonesia"
21,Hummingbird Eatery,-6.904728,107.6178751,Kabupaten Bandung,cafe,"Hummingbird Eatery, #14, Jalan Progo, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40115, Indonesia"
22,Eatboss Cafe,-6.9088982,107.6184895,Kabupaten Bandung,cafe,"Eatboss Cafe, #66, Jalan Aceh, Merdeka, Sumur Bandung, Kota Bandung, Jawa, 40113, Indonesia"
23,Bober,-6.917453,107.6132859,Kabupaten Bandung,cafe,"Bober, 11, Jalan Sumatra, Braga, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
24,Brusselsspring,-6.9164146,107.6138316,Kabupaten Bandung,cafe,"Brusselsspring, 28, Jalan Natuna, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
25,Soleluna,-6.916593,107.6138143,Kabupaten Bandung,cafe,"Soleluna, 28, Jalan Sumatra, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
